Week,Kranick,Garrett,Brazoban,Diaz,Stanek,Young,Minter,Butto
`3/27,0,0,1.17,0,0,0.48,0,0
`3/28,0,1.44,1.17,0.48,0.48,0.48,0.48,0
`3/29,1.54,1.44,1.17,0.48,0.48,0.48,0.48,-0.27
`3/31,1.54,1.44,2.21,0.48,0.48,-1,0.48,-0.27
`4/01,3.1,1.44,2.21,0.48,0.48,-1,0.48,-0.27
`4/02,3.1,2.41,3.15,1,-0.19,-1.79,-0.34,1.4
`4/04,4.01,3.27,3.15,1,-0.19,-1.79,0.12,1.4
`4/05,4.01,3.27,4.37,1.46,-0.19,-1.79,0.12,0.97
`4/06,5.2,3.73,4.37,1.91,-0.19,-1.79,0.58,0.97
`4/07,5.2,3.73,4.37,1.91,0.27,-1.33,0.58,1.89
`4/08,5.2,4.19,2.69,1.91,0.27,-0.87,1.06,1.89
`4/09,6.08,4.19,3.15,-0.84,0.73,-0.66,1.06,1.89
`4/11,6.08,4.43,3.15,-2.39,1.18,-0.66,1.52,1.89
`4/12,6.08,4.43,3.15,-2.39,1.18,-0.66,1.52,1.8
`4/13,6.56,4.43,3.15,-2.39,1.18,-0.66,2,1.8
4/14,,,,,,,,